,Name,Year,Global_Sales
2740,Turok,2008.0,0.75
2741,[Prototype 2],2012.0,0.75
2742,Shark Tale,2004.0,0.75
2743,San Francisco Rush: Extreme Racing,1997.0,0.75
2744,The Amazing Spider-Man (Console Version),2012.0,0.75
2745,Zone of the Enders,2001.0,0.75
2746,Red Faction: Guerrilla,2009.0,0.75
2747,Street Fighter EX Plus Alpha,1997.0,0.75
2748,Madden NFL 06,2005.0,0.75
2749,Coded Arms,2005.0,0.75
2750,Tony Hawk's Underground 2,2004.0,0.75
2751,Tales of Vesperia,2008.0,0.75
2752,X-Men Origins: Wolverine - Uncaged Edition,2009.0,0.75
2753,Madagascar: Escape 2 Africa,2008.0,0.75
2754,Split/Second,2010.0,0.75
2755,Capcom vs. SNK 2: Mark of the Millennium 2001,2001.0,0.75
2756,MVP 06 NCAA Baseball,2006.0,0.75
2757,Just Dance 2015,2014.0,0.75
2758,Borderlands: The Pre-Sequel,2014.0,0.75
2759,LittleBigPlanet 3,2014.0,0.75
2760,Marvel: Ultimate Alliance 2,2009.0,0.75
2761,Sega Superstars Tennis,2008.0,0.75
2762,The Walking Dead: Season One,2012.0,0.75
2763,Ace Combat: Assault Horizon,2011.0,0.74
2764,Jump Ultimate Stars,2006.0,0.74
2765,Jampack Summer 2001,2001.0,0.74
2766,Resonance of Fate,2010.0,0.74
2767,Burnout,2001.0,0.74
2768,Tom Clancy's Rainbow Six: Vegas,2007.0,0.74
2769,Final Fantasy XIII-2,2011.0,0.74
2770,LEGO Batman 2: DC Super Heroes,2012.0,0.74
2771,Mortal Kombat: Unchained,2006.0,0.74
2772,Mario & Luigi: Paper Jam,2015.0,0.74
2773,Yu-Gi-Oh! Dungeon Dice Monsters,2001.0,0.74
2774,Brink,2011.0,0.74
2775,LEGO Marvel Super Heroes,2013.0,0.74
2776,Blur,2010.0,0.74
2777,Madden NFL 11,,0.74
2778,Namco Museum Remix,2007.0,0.74
2779,Midnight Club 3: DUB Edition,2005.0,0.74
2780,Crysis 2,2011.0,0.74
2781,The Lord of the Rings: The Two Towers,2002.0,0.74
2782,Tiger Woods PGA Tour 2001,2001.0,0.74
2783,Indiana Jones and the Staff of Kings,2009.0,0.74
2784,Jet Moto 3,1999.0,0.74
2785,Naruto Shippuden: Ultimate Ninja Storm Generations,2012.0,0.74
2786,Unreal Championship,2002.0,0.74
2787,WarioWare: Twisted!,,0.74
2788,Pirates of the Caribbean: At World's End,2007.0,0.74
2789,Tiger Woods PGA Tour 08,2007.0,0.74
2790,Persona 4: Arena,2012.0,0.74
2791,Sword of Mana,2003.0,0.74
2792,Harvest Moon DS: Island of Happiness,2007.0,0.74
2793,Star Ocean: The Last Hope International,2010.0,0.73
2794,The Sims 2: Castaway,2007.0,0.73
2795,FIFA: Road to World Cup 98,1997.0,0.73
2796,Dragon Ball Z: Ultime Menace,1993.0,0.73
2797,Classic NES Series: Donkey Kong,2004.0,0.73
2798,Call of Duty: Ghosts,2013.0,0.73
2799,Yoshi,1991.0,0.73
2800,Mortal Kombat 4,1998.0,0.73
2801,F1 2011,2011.0,0.73
2802,Madden NFL 10,2009.0,0.73
2803,Kirby: Canvas Curse,2005.0,0.73
2804,Croc 2,1999.0,0.73
2805,Practise English!,2007.0,0.73
2806,Oddworld: Munch's Oddysee,2001.0,0.73
2807,Berzerk,1981.0,0.73
2808,NHL 11,2010.0,0.73
2809,Dragon Age: Inquisition,2014.0,0.73
2810,iCarly,2009.0,0.73
2811,DiRT 3,2011.0,0.73
2812,NCAA Football 07,2006.0,0.73
2813,Just Dance Wii,2011.0,0.73
2814,Full Spectrum Warrior,2004.0,0.73
2815,Katamari Damacy,2004.0,0.73
2816,Beyblade VForce: Ultimate Blader Jam,2003.0,0.73
2817,Ratchet & Clank Collection,2012.0,0.73
2818,Avatar: The Game,2009.0,0.73
2819,Shaun Palmer's Pro Snowboarder,2001.0,0.73
2820,MX vs. ATV Reflex,2009.0,0.73
2821,Imagine: Interior Designer,2008.0,0.73
2822,SSX,2012.0,0.72
2823,Style Savvy: Trendsetters,2012.0,0.72
2824,James Bond 007: Agent Under Fire,2002.0,0.72
2825,XCOM: Enemy Unknown,2012.0,0.72
2826,Rabbids Go Home,2009.0,0.72
2827,Star Wars Episode III: Revenge of the Sith,2005.0,0.72
2828,Ultimate Spider-Man,2005.0,0.72
2829,FIFA Soccer 13,2012.0,0.72
2830,God Eater,2010.0,0.72
2831,Final Fantasy XIV: A Realm Reborn,2014.0,0.72
2832,SD Gundam G Generation,1998.0,0.72
2833,Area 51,1996.0,0.72
2834,NBA Live 08,2007.0,0.72
2835,Dead to Rights,2002.0,0.72
2836,Tiger Woods PGA Tour 07,2006.0,0.72
2837,Test Drive 6,1999.0,0.72
2838,Kouchuu Ouja Mushi King,2005.0,0.72
2839,LEGO Harry Potter: Years 5-7,,0.72
2840,Major League Baseball 2K7,2007.0,0.72
2841,X-Men: Mutant Academy 2,2001.0,0.72
2842,Terraria,2013.0,0.72
2843,Jampack Winter 2001,2001.0,0.72
2844,Kangaroo,1982.0,0.72
2845,James Bond 007: Blood Stone,2010.0,0.72
2846,Ben 10: Protector of Earth,2007.0,0.72
2847,Skate,2007.0,0.72
2848,Super Monkey Ball Jr.,2002.0,0.72
2849,Driver: San Francisco,2011.0,0.72
2850,MLB 09: The Show,2009.0,0.72
2851,Monster Hunter Tri,2012.0,0.72
2852,Mobile Suit Gundam: Encounters in Space,2003.0,0.72
2853,Catherine,2011.0,0.72
2854,Fear Effect,1998.0,0.72
2855,FIFA Soccer 11,2010.0,0.72
2856,Crysis,2007.0,0.72
2857,Battlefield: Bad Company 2,2010.0,0.71
2858,The Lord of the Rings: The Two Towers,2002.0,0.71
2859,Madden NFL 2003,2002.0,0.71
2860,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,2007.0,0.71
2861,MLB 13: The Show,2013.0,0.71
2862,Omerta: City of Gangsters,2011.0,0.71
2863,Dragon Quest Heroes: The World's Tree Woe and the Blight Below,2015.0,0.71
2864,Virtua Fighter 4: Evolution,2003.0,0.71
2865,Top Spin 4,2011.0,0.71
2866,Resident Evil: Survivor,2000.0,0.71
2867,Dynasty Warriors 6,2007.0,0.71
2868,Super Trucks Racing,2002.0,0.71
2869,Persona Q: Shadow of the Labyrinth,2014.0,0.71
2870,Madden NFL 08,2007.0,0.71
2871,Godzilla: Destroy All Monsters Melee,2002.0,0.71
2872,Jeremy McGrath Supercross 2000,2000.0,0.71
2873,Conker: Live And Reloaded,2005.0,0.71
2874,Silent Hill 3,2003.0,0.71
2875,Madden NFL 09,2008.0,0.71
2876,Final Fantasy X/X-2 HD Remaster,2015.0,0.71
2877,Yu-Gi-Oh! The Falsebound Kingdom,2002.0,0.71
2878,LEGO Rock Band,2009.0,0.71
2879,MLB 10: The Show,2010.0,0.71
2880,Spyro: Enter the Dragonfly,2002.0,0.71
2881,Scooby-Doo 2: Monsters Unleashed,2004.0,0.71
2882,Power Rangers: Dino Thunder,2004.0,0.71
2883,Rhythm Heaven: The Best+,2015.0,0.71
2884,LEGO Racers,1999.0,0.71
2885,WWF Attitude,1999.0,0.71
2886,Blast Corps,1997.0,0.71
2887,LEGO Harry Potter: Years 1-4,2010.0,0.71
2888,Tactics Ogre: Let Us Cling Together,1995.0,0.71
2889,"WarioWare, Inc.: Mega Party Game$",2003.0,0.71
2890,Football Manager 2014,2013.0,0.71
2891,Battle Arena Toshinden 2,1995.0,0.71
2892,WWE SmackDown vs. Raw 2011,2010.0,0.71
2893,Jeopardy!,1997.0,0.71
2894,South Park,1998.0,0.71
2895,Metal Gear Solid V: The Phantom Pain,2015.0,0.71
2896,Two Worlds,2007.0,0.71
2897,Doom 3: Resurrection of Evil,2005.0,0.71
2898,NCAA Football 09,2008.0,0.71
2899,NBA Live 09,2008.0,0.71
2900,Ratchet & Clank: Into the Nexus,2013.0,0.71
2901,Spider-Man 2,2005.0,0.71
2902,2014 FIFA World Cup Brazil,2014.0,0.71
2903,London 2012: The Official Video Game of the Olympic Games,2012.0,0.7
2904,NHL 12,2011.0,0.7
2905,Tony Hawk's Underground,2003.0,0.7
2906,Infinite Undiscovery,2008.0,0.7
2907,Super Bomberman 3,1994.0,0.7
2908,Command & Conquer: Red Alert Retaliation,1998.0,0.7
2909,The Sims 2: Apartment Pets,2008.0,0.7
2910,Star Wars: Obi-Wan,2001.0,0.7
2911,NCAA Football 08,2007.0,0.7
2912,Kill.Switch,2003.0,0.7
2913,Lalaloopsy,2011.0,0.7
2914,Madden NFL 2005,2004.0,0.7
2915,F-14 Tomcat,2001.0,0.7
2916,SplashDown,2001.0,0.7
2917,NCAA Football 98,1997.0,0.7
2918,Jade Empire,2005.0,0.7
2919,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009.0,0.7
2920,The Sims 3,2010.0,0.7
2921,Skylanders: Trap Team,2014.0,0.7
2922,Prince of Persia: The Forgotten Sands,2010.0,0.7
2923,Chocobo's Dungeon 2,1998.0,0.7
2924,Advance Wars,2001.0,0.7
2925,Hannah Montana: The Movie,2009.0,0.7
2926,World of Zoo,2009.0,0.7
2927,Ape Escape: On the Loose,2005.0,0.7
2928,NASCAR 2001,2000.0,0.7
2929,IL-2 Sturmovik: Birds of Prey,2009.0,0.7
2930,Book of Spells,2012.0,0.7
2931,NCAA Football 2001,2000.0,0.7
2932,Mafia,2004.0,0.7
2933,Mobile Suit Gundam: Journey to Jaburo,2000.0,0.7
2934,Metal Gear Solid V: The Phantom Pain,2015.0,0.7
2935,TimeSplitters 2,2002.0,0.7
2936,MotionSports,2010.0,0.7
2937,MLB 08: The Show,2008.0,0.7
2938,Classic NES Series: Zelda II: The Adventure of Link,2004.0,0.7
2939,Fire Emblem: Monsh? no Nazo,1994.0,0.7
2940,Disney's Chicken Little,2005.0,0.7
2941,King Kong,1981.0,0.69
2942,WWE 2K15,2014.0,0.69
2943,The LEGO Movie Videogame,2014.0,0.69
2944,X-Men Origins: Wolverine - Uncaged Edition,2009.0,0.69
2945,Metal Gear Solid: Portable Ops Plus,2007.0,0.69
2946,Disney Tangled,2010.0,0.69
2947,Shrek the Third,2007.0,0.69
2948,Test Drive Unlimited 2,,0.69
2949,Moto Racer 2,1997.0,0.69
2950,Halo 2 Multiplayer Map Pack,2005.0,0.69
2951,Minecraft: Story Mode,2015.0,0.69
2952,Mortal Kombat: Shaolin Monks,2005.0,0.69
2953,MX vs. ATV Unleashed: On the Edge,2006.0,0.69
2954,Skylanders: Trap Team,2014.0,0.69
2955,Mario Pinball Land,2004.0,0.69
2956,Mappy,1984.0,0.69
2957,J-League Soccer: Prime Goal,1993.0,0.69
2958,Dragon Ball Z: Budokai,2003.0,0.69
2959,NFL Xtreme,1998.0,0.69
2960,The Sly Collection,2010.0,0.69
2961,One Piece: Pirate Warriors 2,2013.0,0.69
2962,Assassin's Creed IV: Black Flag,2013.0,0.69
2963,Harry Potter and the Chamber of Secrets,2002.0,0.69
2964,Need for Speed: Shift 2 Unleashed,2011.0,0.69
2965,The Lord of the Rings: The Return of the King,2003.0,0.69
2966,Nintendo Presents: New Style Boutique 2 - Fashion Forward,2015.0,0.69
2967,MX vs. ATV Untamed,2007.0,0.69
2968,The Last Remnant,2008.0,0.69
2969,Frozen: Olaf's Quest,2013.0,0.69
2970,The Sims: Medieval,2011.0,0.69
2971,Baldur's Gate: Dark Alliance II,2004.0,0.68
2972,Shark Tale,2004.0,0.68
2973,Plants vs. Zombies: Garden Warfare,2014.0,0.68
2974,Kirby's Dream Collection: Special Edition,2012.0,0.68
2975,Bakugan: Battle Brawlers,2009.0,0.68
2976,Star Wars: Masters of Teras Kasi,1997.0,0.68
2977,The Last Story,2011.0,0.68
2978,NBA Street Vol. 2,2003.0,0.68
2979,Iron Man,2008.0,0.68
2980,Disney Infinity 3.0,2015.0,0.68
2981,Spider-Man 3,2007.0,0.68
2982,NCAA Football 2005,2004.0,0.68
2983,Mortal Kombat Mythologies: Sub-Zero,1997.0,0.68
2984,Rayman Legends,2013.0,0.68
2985,Naruto: Clash of Ninja,2003.0,0.68
2986,Prince of Persia: The Two Thrones,2005.0,0.68
2987,Hot Shots Golf: Open Tee 2,2007.0,0.68
2988,Metro: Last Light,2014.0,0.68
2989,Fossil Fighters: Champions,2010.0,0.68
2990,Mercenaries: Playground of Destruction,2005.0,0.68
2991,Sniper Elite 3,2014.0,0.68
2992,Doom (2016),2016.0,0.68
2993,Bushido Blade 2,1998.0,0.68
2994,Suikoden II,1998.0,0.68
2995,Need for Speed (2015),2015.0,0.68
2996,Cars: Mater-National Championship,2007.0,0.68
2997,FIFA Soccer 06,2005.0,0.68
2998,Hidden Objects: Mystery Stories,2009.0,0.68
2999,Red Steel,2006.0,0.68
3000,Fight Night 2004,2004.0,0.68
3001,Tourist Trophy: The Real Riding Simulator,2006.0,0.68
3002,Mass Effect,2008.0,0.68
3003,.hack//Mutation Part 2,2002.0,0.68
3004,Country Dance,2011.0,0.68
3005,Turok,2008.0,0.68
3006,Midway Arcade Treasures 2,2004.0,0.68
3007,100 Classic Books,2008.0,0.67
3008,Unreal Tournament III,2007.0,0.67
3009,Final Fantasy Crystal Chronicles: Ring of Fates,2007.0,0.67
3010,Return to Castle Wolfenstein: Tides of War,2003.0,0.67
3011,Need for Speed Rivals,2013.0,0.67
3012,Lollipop Chainsaw,2012.0,0.67
3013,The Darkness,2007.0,0.67
3014,Street Sk8er,1998.0,0.67
3015,Club Penguin: Elite Penguin Force - Herbert's Revenge,2010.0,0.67
3016,Contra: Legacy of War,1996.0,0.67
3017,Blazing Angels: Squadrons of WWII,2006.0,0.67
3018,Fight Night Round 2004,2004.0,0.67
3019,Wolfenstein: The New Order,2014.0,0.67
3020,The Biggest Loser: Challenge,2010.0,0.67
3021,Zaidan Houjin Nippon Kanji Nouryoko Kentei Kyoukai Kounin: KanKen DS,2006.0,0.67
3022,Spice World,1998.0,0.67
3023,Star Wars: Republic Commando,2005.0,0.67
3024,Armored Core 3,2002.0,0.67
3025,Need For Speed: Undercover,2008.0,0.67
3026,Taiko no Tatsujin Wii,2008.0,0.67
3027,The Witcher 3: Wild Hunt,2015.0,0.67
3028,Virtua Tennis: World Tour (US & Others sales),2005.0,0.67
3029,The LEGO Movie Videogame,2014.0,0.67
3030,Ratatouille,2007.0,0.67
3031,RIFT,2011.0,0.67
3032,Wild ARMs 2,1999.0,0.67
3033,Summer Sports: Paradise Island (Others sales),2008.0,0.67
3034,Castlevania: Lords of Shadow,2010.0,0.67
3035,BioShock Infinite,2013.0,0.67
3036,Minecraft: Story Mode,2015.0,0.67
3037,TV Show King Party,2008.0,0.67
3038,Crafting Mama,2010.0,0.67
3039,007: Quantum of Solace,2008.0,0.67
3040,Rock Band 3,2010.0,0.67
3041,Command & Conquer: Red Alert 3,2008.0,0.67
3042,The Fairly Odd Parents: Breakin Da Rules,2003.0,0.67
3043,WWE SmackDown vs. RAW 2007,2006.0,0.67
3044,Peppa Pig: Fun and Games,2010.0,0.67
3045,Adventures of Tron,1981.0,0.67
3046,Phoenix Wright: Ace Attorney - Trials and Tribulations,2007.0,0.67
3047,NHL 13,2012.0,0.67
3048,Borderlands: The Pre-Sequel,2014.0,0.67
3049,The Sims 3: High-End Loft Stuff,2010.0,0.67
3050,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",,0.67
3051,Zaidan Houjin Nippon Kanji Nouryoku Kentei Kyoukai Koushiki Soft: 200 Mannin no KanKen: Tokoton Kanji Nou,2006.0,0.66
3052,Pro Pinball: Big Race USA,1999.0,0.66
3053,NFL Street,2004.0,0.66
3054,Shaun White Snowboarding,2008.0,0.66
3055,The LEGO Movie Videogame,2014.0,0.66
3056,Tony Hawk's Proving Ground,2007.0,0.66
3057,MLB 2004,2003.0,0.66
3058,Naruto Shippuden: Ultimate Ninja 4,2007.0,0.66
3059,Tiger Woods PGA Tour 2000,1998.0,0.66
3060,Darkstone,2001.0,0.66
3061,NCAA March Madness 2003,2002.0,0.66
3062,Finding Nemo,2003.0,0.66
3063,Thrillville,2006.0,0.66
3064,NHL 10,2009.0,0.66
3065,Jikkyou World Soccer 2000 Final Edition,2000.0,0.66
3066,Madagascar,2005.0,0.66
3067,Puzzler Brain Games,2012.0,0.66
3068,Dragon Quest Monsters: Caravan Heart,2003.0,0.66
3069,Strawberry Shortcake: Summertime Adventure,2004.0,0.66
3070,Rayman Legends,2013.0,0.66
3071,Rocksmith 2014,2013.0,0.66
3072,Street Fighter Anniversary Collection,2004.0,0.66
3073,Legend of Legaia,1998.0,0.66
3074,Napoleon: Total War,2010.0,0.66
3075,Fist of the North Star: Ken's Rage,2010.0,0.66
3076,Wario: Master of Disguise,2007.0,0.66
3077,Toy Story 3: The Video Game,2010.0,0.66
3078,The Sims: Bustin' Out,2003.0,0.66
3079,Tiger Woods PGA Tour 09,2008.0,0.66
3080,Keystone Kapers,1982.0,0.66
3081,LEGO Marvel Super Heroes,2013.0,0.66
3082,New Play Control! Pikmin,2008.0,0.66
3083,Shrek: Hassle at the Castle,2002.0,0.66
3084,Suikoden IV,2004.0,0.66
3085,Gods Eater Burst,2010.0,0.66
3086,Disney's Kim Possible 2: Drakken's Demise,2004.0,0.66
3087,Um Jammer Lammy,1998.0,0.66
3088,Brothers In Arms: Road to Hill 30,2005.0,0.66
3089,Madden NFL 10,2009.0,0.66
3090,"Transformers: The Game (XBox 360, PS2, PS3, Wii & PC Versions)",2007.0,0.66
3091,Taiko no Tatsujin DS: Touch de Dokodon!,2007.0,0.66
3092,F1 2015,2015.0,0.66
3093,Scene It? Box Office Smash,2008.0,0.66
3094,Animaniacs Ten Pin Alley,1998.0,0.66
3095,Disney Infinity 2.0: Marvel Super Heroes,2014.0,0.65
3096,NHL 13,2012.0,0.65
3097,Kung Fu Panda,2008.0,0.65
3098,Tom Clancy's EndWar,2008.0,0.65
3099,The Evil Within,2014.0,0.65
3100,Tiger Woods PGA Tour 09,2008.0,0.65
3101,Radiata Stories,2005.0,0.65
3102,F-Zero GX,2003.0,0.65
3103,Disney's Chicken Little,2005.0,0.65
3104,Wall-E,2008.0,0.65
3105,Yoshi Topsy-Turvy,2004.0,0.65
3106,Up,2009.0,0.65
3107,Monster Jam: Maximum Destruction,2002.0,0.65
3108,Real Heroes: Firefighter,2009.0,0.65
3109,Cartoon Network Block Party / Cartoon Network Speedway Double Pack,2005.0,0.65
3110,World of Dragon Warrior - Torneko: The Last Hope,1999.0,0.65
3111,Drawn to Life: The Next Chapter,2009.0,0.65
3112,MLB 14: The Show,2014.0,0.65
3113,Tiger Woods PGA Tour 10,2009.0,0.65
3114,Advance Wars 2: Black Hole Rising,2003.0,0.65
3115,Fire Emblem: Shadow Dragon,2008.0,0.65
3116,Centipede,1998.0,0.65
3117,Drakengard,2003.0,0.65
3118,SingStar Pop Hits,2007.0,0.65
3119,Kung-Fu Master,1987.0,0.65
3120,Champions: Return to Arms,2005.0,0.65
3121,Harry Potter and the Goblet of Fire,2005.0,0.65
3122,SingStar R&B,2007.0,0.65
3123,Mary-Kate and Ashley: Magical Mystery Mall,2000.0,0.65
3124,MX vs. ATV Untamed,2007.0,0.65
3125,Disney Sing It: Party Hits,2010.0,0.65
3126,Dead or Alive 5,2012.0,0.65
3127,Star Ocean: First Departure,2007.0,0.65
3128,Super Robot Taisen Impact,2002.0,0.65
3129,Dragon Age: Inquisition,2014.0,0.65
3130,The Black Eyed Peas Experience,2011.0,0.65
3131,Meccha! Taiko no Tatsujin Master DS: 7-tsu no Shima no Daibouken,2008.0,0.65
3132,Sengoku Basara: Samurai Heroes,2010.0,0.65
3133,Crysis 3,2013.0,0.64
3134,Paws & Claws: Pet Vet,2007.0,0.64
3135,Harry Potter and the Half-Blood Prince,2009.0,0.64
3136,Crash Bandicoot Purple: Ripto's Rampage,2004.0,0.64
3137,Diablo III,2014.0,0.64
3138,Spyro: A Hero's Tail,2004.0,0.64
3139,Crash of the Titans,2007.0,0.64
3140,Aliens: Colonial Marines,2013.0,0.64
3141,Crash: Twinsanity,2004.0,0.64
3142,Test Drive Unlimited 2,,0.64
3143,Max Payne 2: The Fall of Max Payne,2003.0,0.64
3144,Dragon Ball: Raging Blast 2,2010.0,0.64
3145,GoldenEye: Rogue Agent,2004.0,0.64
3146,NBA 2K17,2016.0,0.64
3147,Lost Planet: Extreme Condition,2008.0,0.64
3148,XCOM: Enemy Unknown,2012.0,0.64
3149,Rayman 3D,2011.0,0.64
3150,LEGO Marvel's Avengers,2016.0,0.64
3151,James Bond 007: Everything or Nothing,2004.0,0.64
3152,X2: Wolverine's Revenge,2003.0,0.64
3153,Stuntman: Ignition,2007.0,0.64
3154,NBA Live 06,2005.0,0.64
3155,Dragon Age II,2011.0,0.64
3156,LEGO Star Wars II: The Original Trilogy,2006.0,0.64
3157,Tom Clancy's Rainbow Six,1999.0,0.64
3158,Castlevania,1999.0,0.64
3159,Rayman 2: The Great Escape,1999.0,0.64
3160,Nicktoons Collection: Game Boy Advance Video Volume 1,2004.0,0.64
3161,The Lord of the Rings: Conquest,2009.0,0.64
3162,TimeSplitters 2,2002.0,0.64
3163,Onimusha: Dawn of Dreams,2006.0,0.64
3164,NieR,2010.0,0.64
3165,The Princess and the Frog,2009.0,0.64
3166,Sega Rally Revo,2007.0,0.64
3167,SpongeBob SquarePants: Game Boy Advance Video Volume 1,2004.0,0.64
3168,Gravity Rush,2012.0,0.64
3169,Konami Collector's Series: Arcade Advanced,2002.0,0.64
3170,White Knight Chronicles II,2010.0,0.64
3171,Wolfenstein,2009.0,0.64
3172,Jampack Volume 13 (RP-T),2005.0,0.64
3173,LEGO Dimensions,2015.0,0.64
3174,Start the Party!,2010.0,0.64
3175,Cruis'n World,1998.0,0.64
3176,Madden NFL 2001,2000.0,0.64
3177,NBA Live 08,2007.0,0.64
3178,The Walking Dead: Survival Instinct,2013.0,0.64
3179,Donkey Kong Barrel Blast,2007.0,0.64
3180,Okami,2008.0,0.64
3181,Lemony Snicket's A Series of Unfortunate Events,2004.0,0.64
3182,Middle-Earth: Shadow of Mordor,2014.0,0.64
3183,Family Feud: 2010 Edition,2009.0,0.64
3184,Red Steel 2,2010.0,0.63
3185,X-Men Legends II: Rise of Apocalypse,2005.0,0.63
3186,Nightmare Creatures,1997.0,0.63
3187,SingStar Queen,2009.0,0.63
3188,Just Dance 2015,2014.0,0.63
3189,F1 2013,2013.0,0.63
3190,Juiced 2: Hot Import Nights,2007.0,0.63
3191,Tony Hawk's Pro Skater 2x,2001.0,0.63
3192,Sim Theme Park,1999.0,0.63
3193,FIFA Soccer 2003,2002.0,0.63
3194,Ghostbusters: The Video Game,2009.0,0.63
3195,Monster Hunter 2,,0.63
3196,NASCAR 06: Total Team Control,2005.0,0.63
3197,Tony Hawk's Project 8,2006.0,0.63
3198,Dogz,2004.0,0.63
3199,Disney Universe,2011.0,0.63
3200,Guitar Hero: Metallica,2009.0,0.63
3201,Iron Man,2008.0,0.63
3202,Taiko no Tatsujin: Chibi Dragon to Fushigi na Orb,2012.0,0.63
3203,Harry Potter and the Half-Blood Prince,2009.0,0.63
3204,A Bug's Life,1998.0,0.63
3205,Super Castlevania IV,1991.0,0.63
3206,DJ Hero 2,2010.0,0.63
3207,Angry Birds Trilogy,2012.0,0.63
3208,Condemned 2: Bloodshot,2008.0,0.63
3209,Cabela's Big Game Hunter (2008),2007.0,0.63
3210,Mobile Suit Z Gundam: AEUG vs. Titans,2003.0,0.63
3211,Just Dance 3,2011.0,0.63
3212,Call of Duty: Black Ops,2010.0,0.63
3213,God of War III,2015.0,0.63
3214,Ape Escape 2,2002.0,0.63
3215,Metroid Prime: Trilogy,2009.0,0.63
3216,X-Man,1982.0,0.63
3217,"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",2009.0,0.63
3218,Advance Wars: Days of Ruin,,0.63
3219,The Sims 3: Generations,2011.0,0.63
3220,The Crew,2014.0,0.63
3221,Battle of Giants: Dragons,2009.0,0.63
3222,Dragon Quest Monsters Joker 3,2016.0,0.63
3223,Sonic & All-Stars Racing Transformed,2012.0,0.63
3224,Shin Megami Tensei: Persona 3 FES,2007.0,0.63
3225,FIFA Soccer 2002,2001.0,0.63
3226,Shin Megami Tensei: Persona 3 Portable,2009.0,0.63
3227,Final Fantasy VII International,1997.0,0.63
3228,Tiger Woods PGA Tour 12: The Masters,2011.0,0.63
3229,Okami,2006.0,0.63
3230,NHL 2001,2000.0,0.63
3231,World of Zoo,2009.0,0.63
3232,LEGO Jurassic World,2015.0,0.63
3233,Wet,2009.0,0.63
3234,MySims Racing,2009.0,0.63
3235,Buzz Lightyear of Star Command,2000.0,0.63
3236,Namco Museum,2002.0,0.63
3237,Nobunaga no Yabou: Haouden,1993.0,0.62
3238,Virtua Cop,1995.0,0.62
3239,Metal Gear Solid 2: Substance,,0.62
3240,Tony Hawk's American Wasteland,2005.0,0.62
3241,WWF in Your House,1996.0,0.62
3242,Prince of Persia: The Forgotten Sands,2010.0,0.62
3243,Vanquish,2010.0,0.62
3244,Wild ARMs 3,2002.0,0.62
3245,NBA ShootOut '97,1997.0,0.62
3246,Sacred 2: Fallen Angel,2009.0,0.62
3247,Madden NFL 07,2006.0,0.62
3248,Far Cry 4,2014.0,0.62
3249,Battlezone,1982.0,0.62
3250,Tiger Woods PGA Tour 2004,2003.0,0.62
3251,LEGO Pirates of the Caribbean: The Video Game,2011.0,0.62
3252,Pro Evolution Soccer 2015,2014.0,0.62
3253,Evolve,2015.0,0.62
3254,Tak 2: The Staff of Dreams,2004.0,0.62
3255,Dead Island: Riptide,2013.0,0.62
3256,Warriors Orochi 3,2011.0,0.62
3257,Bolt,2008.0,0.62
3258,Viewtiful Joe,2003.0,0.62
3259,The Urbz: Sims in the City,2004.0,0.62
3260,Beetle Adventure Racing!,1999.0,0.62
3261,FIFA Soccer,2012.0,0.62
3262,Disney's 102 Dalmatians: Puppies to the Rescue,2000.0,0.62
3263,Wipeout: The Game,2010.0,0.62
3264,Strike Force Bowling,2004.0,0.62
3265,SpongeBob's Atlantis SquarePantis,2007.0,0.62
3266,Metal Gear Solid V: Ground Zeroes,2014.0,0.62
3267,Halloween,1982.0,0.62
3268,Dragon Ball Z: Ultimate Tenkaichi,2011.0,0.62
3269,WWE SmackDown vs. Raw 2010,2009.0,0.62
3270,Bass Landing,1999.0,0.62
3271,XGRA: Extreme G-Racing Association,2004.0,0.62
3272,Mario's Picross,1995.0,0.62
3273,Pac-Man Player's Choice Bundle,2003.0,0.62
3274,Rocksmith 2014,2014.0,0.62
3275,Fighters MEGAMiX,1996.0,0.62
3276,Bahamut Lagoon,1996.0,0.62
3277,Wall-E,2008.0,0.62
3278,Tomb Raider III: Adventures of Lara Croft,1998.0,0.62
3279,Toshochu: Run for Money,2012.0,0.62
3280,Dragon Quest Monsters: Joker 2 Professional,2011.0,0.62
3281,NFL Quarterback Club 99,1998.0,0.62
3282,Super Robot Taisen α Gaiden,2001.0,0.62
3283,Formula 1: Championship Edition,2006.0,0.61
3284,Muramasa: The Demon Blade,2009.0,0.61
3285,NBA 2K9,2008.0,0.61
3286,SingStar Singalong With Disney,2008.0,0.61
3287,NHL 16,2015.0,0.61
3288,Plants vs. Zombies: Garden Warfare,2014.0,0.61
3289,NFL Fever 2003,2002.0,0.61
3290,Samurai Warriors 2,2006.0,0.61
3291,Dynasty Warriors 8,2013.0,0.61
3292,Disney Sing It: Family Hits,2010.0,0.61
3293,2 Games in 1: Sonic Battle & ChuChu Rocket!,2005.0,0.61
3294,Robotech: Battlecry,2002.0,0.61
3295,Dora the Explorer: Super Spies,2004.0,0.61
3296,New Carnival Games,2010.0,0.61
3297,Tony Hawk: RIDE,2009.0,0.61
3298,Just Dance 2014,2013.0,0.61
3299,Cooking Mama 4: Kitchen Magic!,2011.0,0.61
